version,filename,fold,label,label_number,subject,token_count,path
stop,3-1msg1.txt,1,ham,0,re : 2 . 882 s - > np np,92,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-1msg1.txt
stop,3-1msg2.txt,1,ham,0,s - > np + np,49,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-1msg2.txt
stop,3-1msg3.txt,1,ham,0,2 . 882 s - > np np,15,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-1msg3.txt
stop,3-375msg1.txt,1,ham,0,gent conference,661,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-375msg1.txt
stop,3-378msg1.txt,1,ham,0,query : causatives korean,22,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-378msg1.txt
stop,3-378msg2.txt,1,ham,0,l2 learning / cultural empathy,94,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-378msg2.txt
stop,3-378msg3.txt,1,ham,0,psycholinguistics teaching,31,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-378msg3.txt
stop,3-378msg4.txt,1,ham,0,german corpora,17,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-378msg4.txt
stop,3-378msg5.txt,1,ham,0,t,40,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-378msg5.txt
stop,3-379msg1.txt,1,ham,0,job - university utah,75,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-379msg1.txt
stop,3-379msg2.txt,1,ham,0,job : montreal,188,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-379msg2.txt
stop,3-379msg3.txt,1,ham,0,lectureship linguistics,112,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-379msg3.txt
stop,3-380msg1.txt,1,ham,0,negative concord,41,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-380msg1.txt
stop,3-380msg2.txt,1,ham,0,,32,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-380msg2.txt
stop,3-380msg3.txt,1,ham,0,query : email addresses,19,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-380msg3.txt
stop,3-380msg4.txt,1,ham,0,postings,33,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-380msg4.txt
stop,3-380msg5.txt,1,ham,0,query icelandic,62,C:\Users\the50\Downloads\lingspam_public\lingspam_public\stop\part1\3-380msg5.txt
