rank,word
1,the
2,of
3,be
4,and
5,to
6,in
7,a
8,for
9,on
10,you
11,language
12,that
13,i
14,this
15,have
16,will
17,or
18,it
19,as
20,with
21,university
22,s
23,by
24,at
25,from
26,your
27,not
28,e
29,an
30,do
31,linguistic
32,we
33,mail
34,de
35,can
36,information
37,all
38,if
39,address
40,conference
41,one
42,which
43,use
44,but
45,d
46,order
47,please
48,more
49,send
50,include
51,other
52,may
53,new
54,english
55,workshop
56,there
57,http
58,t
59,make
60,paper
61,work
62,about
63,no
64,email
65,should
66,program
67,also
68,fax
69,papers
70,edu
71,n
72,what
73,word
74,name
75,research
76,follow
77,would
78,www
79,list
80,our
81,they
82,any
83,their
84,out
85,how
86,my
87,call
88,only
89,some
90,system
91,abstract
92,time
93,report
94,so
95,these
96,m
97,who
98,submission
99,book
100,theory
